lam_bar,z_bar,theta_lambda_rad,theta_frac_of_lam,theta_rad,I_exact,I_dchi_only,rel_error
25.0,0.275,0.0012491933093633745,0.1,0.00012491933093633747,144468407.04480177,192053448.81192154,0.32938026202755144
25.0,0.275,0.0012491933093633745,0.5,0.0006245966546816873,56508130.2606335,192053448.81192154,2.39868701948038
25.0,0.275,0.0012491933093633745,1.0,0.0012491933093633745,30193618.49649784,192053448.81192154,5.36072979574137
25.0,0.275,0.0012491933093633745,2.0,0.002498386618726749,15973714.212571792,192053448.81192154,11.023092829641945
25.0,0.425,0.0009380847820983269,0.1,9.38084782098327e-05,244360997.8267758,329452207.1696496,0.3482192743507858
25.0,0.425,0.0009380847820983269,0.5,0.00046904239104916345,91648332.50527233,329452207.1696496,2.594743059298945
25.0,0.425,0.0009380847820983269,1.0,0.0009380847820983269,49150097.10984391,329452207.1696496,5.702981815750391
25.0,0.425,0.0009380847820983269,2.0,0.0018761695641966538,27616881.994852774,329452207.1696496,10.929377372545272
25.0,0.575,0.0007966415217473989,0.1,7.966415217473989e-05,319660378.4541182,437877654.87554854,0.3698214867702111
25.0,0.575,0.0007966415217473989,0.5,0.00039832076087369946,114994513.64436193,437877654.87554854,2.807813442559112
25.0,0.575,0.0007966415217473989,1.0,0.0007966415217473989,62721554.97082032,437877654.87554854,5.981294629561727
25.0,0.575,0.0007966415217473989,2.0,0.0015932830434947978,37362539.82649401,437877654.87554854,10.719697239775085
37.5,0.275,0.0013547148807736137,0.1,0.00013547148807736137,139806551.6170957,188049618.8586452,0.3450701464526379
37.5,0.275,0.0013547148807736137,0.5,0.0006773574403868068,52839754.10184033,188049618.8586452,2.5588662751194695
37.5,0.275,0.0013547148807736137,1.0,0.0013547148807736137,27917778.4654464,188049618.8586452,5.735837491202698
37.5,0.275,0.0013547148807736137,2.0,0.0027094297615472274,14972092.20385725,188049618.8586452,11.560009402707133
37.5,0.425,0.0010173264651757799,0.1,0.00010173264651757799,236077661.05153105,322220903.2351358,0.36489366168703863
37.5,0.425,0.0010173264651757799,0.5,0.0005086632325878899,85560069.87160727,322220903.2351358,2.766019636480724
37.5,0.425,0.0010173264651757799,1.0,0.0010173264651757799,45640204.601130486,322220903.2351358,6.060023197774064
37.5,0.425,0.0010173264651757799,2.0,0.0020346529303515598,26077330.542848695,322220903.2351358,11.356360736605376
37.5,0.575,0.0008639352420990317,0.1,8.639352420990317e-05,308213238.10911953,427674227.0224525,0.3875920114470848
37.5,0.575,0.0008639352420990317,0.5,0.00043196762104951586,107280931.34538323,427674227.0224525,2.9864887604823838
37.5,0.575,0.0008639352420990317,1.0,0.0008639352420990317,58589416.09364356,427674227.0224525,6.29951338547051
37.5,0.575,0.0008639352420990317,2.0,0.0017278704841980634,35441689.12477302,427674227.0224525,11.066982065014416
52.5,0.275,0.001449017092624607,0.1,0.0001449017092624607,135911351.12714672,184647376.96656418,0.35858686883205443
52.5,0.275,0.001449017092624607,0.5,0.0007245085463123035,49903978.553000525,184647376.96656418,2.7000532286310484
52.5,0.275,0.001449017092624607,1.0,0.001449017092624607,26160919.937450916,184647376.96656418,6.0581377645757195
52.5,0.275,0.001449017092624607,2.0,0.002898034185249214,14215769.706929546,184647376.96656418,11.98891166452682
52.5,0.425,0.0010881429426517221,0.1,0.00010881429426517223,229164654.61918885,316078080.06111884,0.3792619136068656
52.5,0.425,0.0010881429426517221,0.5,0.0005440714713258611,80718372.51669408,316078080.06111884,2.9158133421947765
52.5,0.425,0.0010881429426517221,1.0,0.0010881429426517221,42952892.57233823,316078080.06111884,6.35871465533555
52.5,0.425,0.0010881429426517221,2.0,0.0021762858853034443,24894949.502492372,316078080.06111884,11.696474039020424
52.5,0.575,0.0009240740989036738,0.1,9.240740989036739e-05,298679893.56563425,419017874.3602836,0.4028995034049902
52.5,0.575,0.0009240740989036738,0.5,0.0004620370494518369,101192058.81578405,419017874.3602836,3.140817760443913
52.5,0.575,0.0009240740989036738,1.0,0.0009240740989036738,55443480.580024034,419017874.3602836,6.557567994951121
52.5,0.575,0.0009240740989036738,2.0,0.0018481481978073475,33936829.16477053,419017874.3602836,11.346995422756281
130.0,0.275,0.0017371219908994594,0.1,0.00017371219908994594,125324660.82003295,175128593.91537812,0.39739930488911474
130.0,0.275,0.0017371219908994594,0.5,0.0008685609954497297,42514442.04002921,175128593.91537812,3.119273016695994
130.0,0.275,0.0017371219908994594,1.0,0.0017371219908994594,22007158.30792763,175128593.91537812,6.957801341952068
130.0,0.275,0.0017371219908994594,2.0,0.0034742439817989188,12452492.321216945,175128593.91537812,13.063738358383773
130.0,0.425,0.0013044960232308693,0.1,0.00013044960232308693,210430740.4603896,298917088.52119887,0.42050105354006234
130.0,0.425,0.0013044960232308693,0.5,0.0006522480116154347,68671560.99678378,298917088.52119887,3.352851226655509
130.0,0.425,0.0013044960232308693,1.0,0.0013044960232308693,36674017.29059219,298917088.52119887,7.150650258810851
130.0,0.425,0.0013044960232308693,2.0,0.0026089920464617386,22044047.227251124,298917088.52119887,12.55999129559448
130.0,0.575,0.0011078057302406413,0.1,0.00011078057302406413,272956615.5670516,394911453.89918745,0.4467920225299604
130.0,0.575,0.0011078057302406413,0.5,0.0005539028651203206,86240676.52164,394911453.89918745,3.57917852488198
130.0,0.575,0.0011078057302406413,1.0,0.0011078057302406413,48126022.69090991,394911453.89918745,7.205777910123845
130.0,0.575,0.0011078057302406413,2.0,0.0022156114604812826,30192897.667564582,394911453.89918745,12.079614227402566
