lam_bar,z_bar,R_lambda_cMpch,chi_cMpch,D_A_cMpch,theta_lambda_rad,theta_lambda_arcmin,two_theta_lambda_rad,two_theta_lambda_arcmin,theta_R_at_30Mpch_rad,ratio_thetaR30_over_2thetalam
25.0,0.275,0.757858283255199,773.514638533261,606.6781478692243,0.0012491933093633745,4.294410265350092,0.002498386618726749,8.588820530700184,0.04944961361368633,19.792618661593416
25.0,0.425,0.757858283255199,1151.2264927941897,807.8782405573261,0.0009380847820983269,3.2248979303810166,0.0018761695641966538,6.449795860762033,0.03713430872863228,19.792618661593416
25.0,0.575,0.757858283255199,1498.3236042087906,951.3165741008195,0.0007966415217473989,2.7386518188603204,0.0015932830434947978,5.477303637720641,0.03153524369987549,19.792618661593416
37.5,0.275,0.8218759147586129,773.514638533261,606.6781478692243,0.0013547148807736137,4.657166706713794,0.0027094297615472274,9.314333413427589,0.04944961361368633,18.25093025679617
37.5,0.425,0.8218759147586129,1151.2264927941897,807.8782405573261,0.0010173264651757799,3.4973107704920943,0.0020346529303515598,6.9946215409841885,0.03713430872863228,18.250930256796174
37.5,0.575,0.8218759147586129,1498.3236042087906,951.3165741008195,0.0008639352420990317,2.9699905886932507,0.0017278704841980634,5.939981177386501,0.03153524369987549,18.250930256796174
52.5,0.275,0.8790870059843446,773.514638533261,606.6781478692243,0.001449017092624607,4.981353830982424,0.002898034185249214,9.962707661964847,0.04944961361368633,17.06315745527824
52.5,0.425,0.8790870059843446,1151.2264927941897,807.8782405573261,0.0010881429426517221,3.740759887253379,0.0021762858853034443,7.481519774506758,0.03713430872863228,17.063157455278244
52.5,0.575,0.8790870059843446,1498.3236042087906,951.3165741008195,0.0009240740989036738,3.176732749472107,0.0018481481978073475,6.353465498944214,0.03153524369987549,17.06315745527824
130.0,0.275,1.0538739520617835,773.514638533261,606.6781478692243,0.0017371219908994594,5.971785514674121,0.0034742439817989188,11.943571029348242,0.04944961361368633,14.233201200821238
130.0,0.425,1.0538739520617835,1151.2264927941897,807.8782405573261,0.0013044960232308693,4.484526991363716,0.0026089920464617386,8.969053982727432,0.03713430872863228,14.233201200821238
130.0,0.575,1.0538739520617835,1498.3236042087906,951.3165741008195,0.0011078057302406413,3.808355571791816,0.0022156114604812826,7.616711143583632,0.03153524369987549,14.233201200821238
