lam_bar,z_bar,R_cMpch,total_30Mpc,rnd_30Mpc,cl_30Mpc,cl_over_total_30Mpc,total_Rmax15,rnd_Rmax15,cl_Rmax15,total_Rmax30,rnd_Rmax30,cl_Rmax30,total_Rmax60,rnd_Rmax60,cl_Rmax60,total_Rmax120,rnd_Rmax120,cl_Rmax120
25.0,0.275,0.3,304789097921381.4,151534971978071.44,153254125943309.9,0.5028202353315174,304789097921381.4,151534971978071.44,153254125943309.9,304789097921381.4,151534971978071.44,153254125943309.9,328779142386829.06,175130390703199.2,153648751683629.88,362411091669829.9,208726669851414.44,153684421818415.44
25.0,0.275,1.0,268311982820076.3,151505056099210.28,116806926720866.02,0.43533995572308815,268311982820076.3,151505056099210.28,116806926720866.02,268311982820076.3,151505056099210.28,116806926720866.02,292315079183090.5,175113269764650.94,117201809418439.56,325953533521705.0,208716046204723.62,117237487316981.34
25.0,0.275,3.0,211073842656843.12,150831776709236.2,60242065947606.945,0.2854075388467083,211073842656843.12,150831776709236.2,60242065947606.945,211073842656843.12,150831776709236.2,60242065947606.945,235192392744546.12,174553168830066.72,60639223914479.4,268888155231988.8,208213185323511.9,60674969908476.9
25.0,0.275,10.0,171849679041859.84,146032194786286.9,25817484255572.93,0.15023295009637,171849679041859.84,146032194786286.9,25817484255572.93,171849679041859.84,146032194786286.9,25817484255572.93,197314184181714.44,171078268100841.03,26235916080873.418,231646483764496.28,205378709981537.97,26267773782958.312
25.0,0.425,0.3,338332551299592.3,189065454707735.12,149267096591857.2,0.4411845564918218,338332551299592.3,189065454707735.12,149267096591857.2,338332551299592.3,189065454707735.12,149267096591857.2,367866271578500.75,218266927594811.34,149599343983689.4,410641599207636.6,261039670210136.03,149601928997500.56
25.0,0.425,1.0,304536172147114.6,189026050981746.25,115510121165368.39,0.3792985258564557,304536172147114.6,189026050981746.25,115510121165368.39,304536172147114.6,189026050981746.25,115510121165368.39,334085952694636.0,218243365489503.06,115842587205132.9,376869730998866.0,261024556705957.38,115845174292908.62
25.0,0.425,3.0,250262104695083.28,188159232094282.56,62102872600800.73,0.248151323894867,250262104695083.28,188159232094282.56,62102872600800.73,250262104695083.28,188159232094282.56,62102872600800.73,279953949766451.6,217516674946273.4,62437274820178.195,322812179454533.1,260372299561928.84,62439879892604.28
25.0,0.425,10.0,207974447395856.4,182111649921261.66,25862797474594.758,0.12435564944845257,207974447395856.4,182111649921261.66,25862797474594.758,207974447395856.4,182111649921261.66,25862797474594.758,239315221023925.66,213101945269451.34,26213275754474.3,283003773475537.9,256792704447047.2,26211069028490.71
25.0,0.575,0.3,403058749566581.0,234018373901824.62,169040375664756.34,0.4193938869867721,403058749566581.0,234018373901824.62,169040375664756.34,403058749566581.0,234018373901824.62,169040375664756.34,439150153539733.7,269838839598014.3,169311313941719.38,493344130857863.25,324059383867005.1,169284746990858.12
25.0,0.575,1.0,358751316952261.6,233966754974416.34,124784561977845.27,0.34783025477910684,358751316952261.6,233966754974416.34,124784561977845.27,358751316952261.6,233966754974416.34,124784561977845.27,394862341990773.1,269806662375850.6,125055679614922.55,449067294082932.56,324038184989311.44,125029109093621.12
25.0,0.575,3.0,297385591944251.75,232853492740828.2,64532099203423.54,0.21699806901042065,297385591944251.75,232853492740828.2,64532099203423.54,297385591944251.75,232853492740828.2,64532099203423.54,333670178928949.2,268865373730078.22,64804805198870.98,387971824085416.9,323193621128098.25,64778202957318.64
25.0,0.575,10.0,250891155205099.25,225298572401372.1,25592582803727.14,0.10200671595140785,250891155205099.25,225298572401372.1,25592582803727.14,250891155205099.25,225298572401372.1,25592582803727.14,289179682081840.3,263303694654139.1,25875987427701.19,344565494357651.4,318721528867116.5,25843965490534.89
37.5,0.275,0.3,315162032331344.8,151545578300299.22,163616454031045.6,0.5191502695319208,315162032331344.8,151545578300299.22,163616454031045.6,315162032331344.8,151545578300299.22,163616454031045.6,339243490582209.3,175142626705184.06,164100863877025.25,372885883802607.9,208741235172717.16,164144648629890.72
37.5,0.275,1.0,286615344354478.06,151516317427691.8,135099026926786.25,0.4713600635411182,286615344354478.06,151516317427691.8,135099026926786.25,286615344354478.06,151516317427691.8,135099026926786.25,310709913846971.06,175126161656671.7,135583752190299.39,344358814341271.75,208731267867898.28,135627546473373.5
37.5,0.275,3.0,223998127468375.25,150846024292238.1,73152103176137.14,0.32657461918499736,223998127468375.25,150846024292238.1,73152103176137.14,223998127468375.25,150846024292238.1,73152103176137.14,248208676149018.53,174569054794163.22,73639621354855.31,281914904266237.4,208231405039382.4,73683499226854.95
37.5,0.275,10.0,177656677299271.7,146042293723707.62,31614383575564.047,0.1779521268559358,177656677299271.7,146042293723707.62,31614383575564.047,177656677299271.7,146042293723707.62,31614383575564.047,203218112428015.75,171090096861866.6,32128015566149.14,237560037542858.3,205392917045156.25,32167120497702.062
37.5,0.425,0.3,355641094163581.44,189067808324538.06,166573285839043.38,0.46837468608851474,355641094163581.44,189067808324538.06,166573285839043.38,355641094163581.44,189067808324538.06,166573285839043.38,385255517052147.4,218269616488614.03,166985900563533.3,428031982435443.0,261042869819123.84,166989112616319.12
37.5,0.425,1.0,326807001856216.5,189029313200212.53,137777688656003.97,0.4215873217937395,326807001856216.5,189029313200212.53,137777688656003.97,326807001856216.5,189029313200212.53,137777688656003.97,356437538083234.44,218246963166977.44,138190574916256.98,399222454747637.4,261028665202489.1,138193789545148.28
37.5,0.425,3.0,264766692107195.78,188166674688937.1,76600017418258.69,0.28931138130941986,264766692107195.78,188166674688937.1,76600017418258.69,264766692107195.78,188166674688937.1,76600017418258.69,294539762802382.6,217524454609910.38,77015308192472.28,337399136120272.3,260380590959796.5,77018545160475.81
37.5,0.425,10.0,214180734954578.12,182113765438648.8,32066969515929.32,0.14971920571068098,214180734954578.12,182113765438648.8,32066969515929.32,214180734954578.12,182113765438648.8,32066969515929.32,245606641253172.53,213104416491358.2,32502224761814.355,289295183678539.3,256795697713764.2,32499485964775.145
37.5,0.575,0.3,430430404061347.1,234008315673728.66,196422088387618.44,0.4563387867917048,430430404061347.1,234008315673728.66,196422088387618.44,430430404061347.1,234008315673728.66,196422088387618.44,466589364640659.0,269827211946823.25,196762152693835.75,520774201313882.9,324045387018849.06,196728814295033.84
37.5,0.575,1.0,387587818325754.9,233957959005406.12,153629859320348.78,0.39637432358936503,387587818325754.9,233957959005406.12,153629859320348.78,387587818325754.9,233957959005406.12,153629859320348.78,423766444887705.94,269796296131965.1,153970148755740.84,477962254946674.75,324025449069749.75,153936805876925.03
37.5,0.575,3.0,313595039883547.6,232850566277248.44,80744473606299.2,0.25748007250460136,313595039883547.6,232850566277248.44,80744473606299.2,313595039883547.6,232850566277248.44,80744473606299.2,349947626174419.44,268860869457116.25,81086756717303.19,404240116999244.0,323186742961783.7,81053374037460.28
37.5,0.575,10.0,257377266565853.3,225288708750836.03,32088557815017.27,0.12467518302284478,257377266565853.3,225288708750836.03,32088557815017.27,257377266565853.3,225288708750836.03,32088557815017.27,295736437851789.1,263292165829267.28,32444272022521.832,351111666769930.2,318707578655157.06,32404088114773.105
52.5,0.275,0.3,333811097761848.06,151554816326405.75,182256281435442.3,0.5459862858288492,333811097761848.06,151554816326405.75,182256281435442.3,333811097761848.06,151554816326405.75,182256281435442.3,357992182505080.9,175153313949925.3,182838868555155.6,391645517271470.9,208753990550914.97,182891526720555.9
52.5,0.275,1.0,308940865183946.8,151524275384343.47,157416589799603.34,0.5095363143554212,308940865183946.8,151524275384343.47,157416589799603.34,308940865183946.8,151524275384343.47,157416589799603.34,333135125878671.8,175135569617852.16,157999556260819.66,366794970251251.9,208742744363210.03,158052225888041.8
52.5,0.275,3.0,238397543161595.2,150849949027489.78,87547594134105.42,0.36723362570377766,238397543161595.2,150849949027489.78,87547594134105.42,238397543161595.2,150849949027489.78,87547594134105.42,262708356021093.94,174574436485620.78,88133919535473.17,296425548488557.44,208238858794857.6,88186689693699.86
52.5,0.275,10.0,184029619400725.25,146051268922815.06,37978350477910.195,0.2063708581345929,184029619400725.25,146051268922815.06,37978350477910.195,184029619400725.25,146051268922815.06,37978350477910.195,209696692285126.2,171100610352266.88,38596081932859.305,244048653894801.62,205405542100331.88,38643111794469.734
52.5,0.425,0.3,380133166698966.9,189070067094002.62,191063099604964.28,0.5026214925262493,380133166698966.9,189070067094002.62,191063099604964.28,380133166698966.9,189070067094002.62,191063099604964.28,409835228144046.4,218272232812461.38,191562995331585.0,452612923384208.75,261046038781078.25,191566884603130.53
52.5,0.425,1.0,352976257306491.9,189029824221917.3,163946433084574.56,0.4644687275445234,352976257306491.9,189029824221917.3,163946433084574.56,352976257306491.9,189029824221917.3,163946433084574.56,382694489720727.7,218247831937215.4,164446657783512.28,425480636900243.75,261030086724410.56,164450550175833.22
52.5,0.425,3.0,280754928912947.12,188161763747291.28,92593165165655.86,0.32980067535828,280754928912947.12,188161763747291.28,92593165165655.86,280754928912947.12,188161763747291.28,92593165165655.86,310616206127046.4,217519903134177.6,93096302992868.81,353476815683926.75,260376593236438.16,93100222447488.58
